,temp+acc_XAp0,temp+acc_XAp1,temp+acc_XAp2,temp+acc_XCond1,temp+acc_XCond2,temp+acc_XDist,temp+acc_XFuzz1,temp+acc_XFuzz2,temp+acc_XK2_1,temp+acc_XK2_2,temp+acc_XPermEn,temp+acc_XSamp0,temp+acc_XSamp1,temp+acc_XSamp2,temp+acc_XSpec
80,,0.0,0.0,0.2185442027450958,0.19261575548798324,0.43247924460249854,0.016673285503473263,0.02006200170266472,,,0.6233814453054027,inf,,,0.22496406084744583
81,,0.0,0.0,0.08467349851939515,0.07384969608960454,0.5755573887550863,0.01640822458594845,0.008844525438365183,,,0.5748741956352443,inf,,,0.25285772371502063
82,,0.0,0.0,1.1367005917780957,1.111641195792067,0.7873681144802251,0.0014184144276556435,0.002078306834387497,,,0.6509067234006624,inf,,,0.18958346023682385
83,,0.0,0.0,0.5904768245726537,0.5450450960443867,0.47798870694682016,0.6020359129748747,0.4419581256441809,,,0.6528756675646988,inf,,,0.26423781179952155
84,,0.0,0.0,0.6327417565932317,0.600252004279222,0.44396110108525877,0.5837121400415121,0.3675284252617901,,,0.6233814453054027,inf,,,0.25535543725483245
85,,0.0,0.0,0.5382838449939583,0.4628563024884382,0.5361011313744346,0.3825454383328285,0.25133938005904655,,,0.6380535849069913,inf,,,0.26611511658701226
86,,0.0,0.0,0.42118307594352616,0.38318561690618336,0.48378548024995016,0.2412060392735974,0.19605820765343304,,,0.6309483474627791,inf,,,0.2765723129316051
87,,0.0,0.0,0.24930853197961864,0.19770037091464748,0.3407530340707959,0.14425434352348274,0.12113036974189609,,,0.6097226960127671,inf,,,0.28583044794910784
88,,0.0,0.0,0.360435953305126,0.27150058189824133,0.4313959515851066,0.13539951422033403,0.08864382115588654,,,0.6153451465759925,inf,,,0.31210419607238793
89,,0.0,0.0,0.5211775971821249,0.4613770349969557,0.40995891082871033,0.2582659464081909,0.17010531616696384,,,0.6153451465759925,inf,,,0.2817867269787355
90,,0.0,0.0,0.782632895431676,0.5376479256079849,0.41972860319989863,0.4949465936471184,0.22527695699744704,,,0.6357360191111145,inf,,,0.2571569116504687
91,,0.0,0.0,0.750412825386791,0.5058613487961761,0.4603470211689523,0.452300967851905,0.23897801189695878,,,0.6566669596287297,inf,,,0.25885885678753373
92,,0.0,0.0,0.3279924047565381,0.2932109205710374,0.313596555967232,0.4543215523894846,0.353591878587202,,,0.5641709578113449,inf,,,0.2696036750664096
