,hr+eda_XAp0,hr+eda_XAp1,hr+eda_XAp2,hr+eda_XCond1,hr+eda_XCond2,hr+eda_XDist,hr+eda_XFuzz1,hr+eda_XFuzz2,hr+eda_XK2_1,hr+eda_XK2_2,hr+eda_XPermEn,hr+eda_XSamp0,hr+eda_XSamp1,hr+eda_XSamp2,hr+eda_XSpec
591,,0.0,0.0,1.4866305311201309,1.0648725132239998,0.8912766544445484,0.1298115456118405,0.13179516314331594,,,0.585052858160615,inf,,,0.17198928548336676
592,,0.0,0.0,0.9150629024755845,0.7167550353305595,0.7333324162085935,0.08242430933653241,0.10155597976940377,,,0.6068309995095971,inf,,,0.162190216888764
593,,0.0,0.0,1.6408601423443294,1.5379435030991224,0.5789692036077383,0.09059051446218344,0.09243624976568825,,,0.5490601803369085,inf,,,0.19142264680465207
594,,0.0,0.0,1.6515538204465723,1.5157836420563084,0.8257658266074563,0.3055755007851055,0.23191813453619653,,,0.581717464821069,inf,,,0.17717991381565684
595,,0.0,0.0,1.664940041496696,1.4633289767700495,0.7453324060536374,0.1593190251869532,0.15288207529878578,,,0.5783247308855777,inf,,,0.18408130028565403
596,,0.0,0.0,1.5053234868702927,1.3592096099113082,0.7373177086853067,0.19020101275768483,0.18276476748835718,,,0.585052858160615,inf,,,0.1878262897041114
597,,0.0,0.0,1.5170047533432607,1.3991499840340524,0.9185175733507982,0.33088538344364626,0.3239817045550864,,,0.6619902821573977,inf,,,0.18408341458041613
598,,0.0,0.0,0.12932326130896366,0.07503644324723875,0.6984646273292553,0.12067482585882074,0.102774669001903,,,0.6528756675646988,inf,,,0.16254504908780854
599,,0.0,0.0,1.175635564400164,0.8661777997842695,0.6792377775180296,0.143438121580186,0.10338828727784466,,,0.6097226960127671,inf,,,0.17888924394487318
600,,0.0,0.0,1.3402441116900534,0.809345223669216,0.8289575058875998,0.37035386077771326,0.39053981476177374,,,0.6038851895711802,inf,,,0.225026065526321
601,,0.0,0.0,1.6220035047215453,1.1676034957468313,0.6468068697294834,0.12580000916665035,0.12886546930616333,,,0.49759852643134905,inf,,,0.2024960695584682
602,,0.0,0.0,1.4678902498483182,0.9235287364783105,0.6921829220645771,0.03453312114383142,0.043300448517292534,,,0.6097226960127671,inf,,,0.17726975366511427
603,,0.0,0.0,1.2692446827224657,0.9790552762756312,0.6540222214749448,0.19470743644258315,0.15977309575334225,,,0.6097226960127671,inf,,,0.16540662421163976
604,,0.0,0.0,1.7855337783635936,1.014918483356226,0.9065986419814642,0.03878217851389606,0.05774503364675575,,,0.6284777104787076,inf,,,0.16379810992009566
605,,0.0,0.0,0.2925257859233004,0.13901019811576143,0.6474735684943675,0.056990080103462036,0.06630319218005933,,,0.6309483474627791,inf,,,0.18534766615013346
606,,0.0,0.0,1.6038185821120992,1.261892476096559,0.9366790117870291,0.28790157360087115,0.3125417106883617,,,0.5287703885177266,inf,,,0.16426597725605618
607,,0.0,0.0,1.512574550041624,0.6804582086691912,0.9260157265941447,0.1346686928439762,0.14780070634287915,,,0.5068466436745385,inf,,,0.190767363766881
608,,0.0,0.0,1.6288278438930335,1.1901190886371285,0.8959760441766225,0.024921828957453828,0.04182213110060237,,,0.648888643467878,inf,,,0.16630648659932182
609,,0.0,0.0,1.708306196571569,0.9754973505123532,0.9032769843990663,0.012953467318007233,0.020754900265945314,,,0.6068309995095971,inf,,,0.16364799863454463
610,,0.0,0.0,1.5547339990103468,1.3531461180794853,0.779800506231463,0.03138999209469161,0.04396352684023121,,,0.62595550513784,inf,,,0.16356949640512325
611,,0.0,0.0,0.9907968737988628,0.638081721157211,0.9039497921011653,0.0715166324741714,0.08754183824727008,,,0.6333676938231112,inf,,,0.16422496425440114
612,,0.0,0.0,1.4436669187417144,1.3596279792227934,0.9362344625942206,0.046870867591651454,0.06378909585351172,,,0.6333676938231112,inf,,,0.16309101910268145
613,,0.0,0.0,1.6977872064621589,1.6055529389767438,0.8782687065002026,0.054057107018915064,0.05651739238429844,,,0.5947193981915972,inf,,,0.16286942871522916
614,,0.0,0.0,1.5037202454939258,1.299960510453778,0.922106895413821,0.0741536632961531,0.08108293518948315,,,0.5978297680564633,inf,,,0.16354026746932562
615,,0.0,0.0,1.6053134075606845,1.380532737624609,0.9448492012684023,0.0511746344823307,0.06595857228403888,,,0.6425374456860184,inf,,,0.16354264142435632
616,,0.0,0.0,1.593262603292641,1.207827315700422,0.7642108886045965,0.0569654933877945,0.07198729971839454,,,0.6153451465759925,inf,,,0.16447742726829082
617,,0.0,0.0,1.430737273232138,1.2321984219849533,0.76320253417072,0.04692180581658887,0.056596701691310515,,,0.6333676938231112,inf,,,0.16277737500551692
618,,0.0,0.0,1.0393537120214162,0.5686427228670425,0.936777154701571,0.04579919334510722,0.058433228996919995,,,0.6333676938231112,inf,,,0.16397499340125332
619,,0.0,0.0,1.5300467095809498,0.8355522656415614,0.8075931366825254,0.049599439552499826,0.057442328556006346,,,0.5329562494928909,inf,,,0.17752898972215955
620,,0.0,0.0,1.5038976317634232,1.1308343848951974,0.922573379444304,0.15128271745995311,0.14231734465214757,,,0.524519217297268,inf,,,0.1585187399770073
621,,0.0,0.0,1.4374361663008894,0.9666991952829093,0.7995309216684598,0.09063333086425973,0.12191654709895693,,,0.5490601803369085,inf,,,0.16365809843162077
622,,0.0,0.0,1.3821334925429851,1.3072669288034509,0.8889372112636513,0.08043915542227048,0.12374038238894279,,,0.5641709578113449,inf,,,0.16538916689652272
623,,0.0,0.0,1.4270491069652071,1.108135226017679,0.7484757106287865,0.1414808416259502,0.14821267928641113,,,0.541134803179459,inf,,,0.159836670037285
624,,0.0,0.0,1.7166153669119129,0.8045512616428877,0.8930733572755849,0.109772427984483,0.10681668833588955,,,0.5113665138247345,inf,,,0.17212207855056533
625,,0.0,0.0,1.0630798537156627,0.7890363631108497,0.8982806158426829,0.20061201761227185,0.23558253993152628,,,0.5287703885177266,inf,,,0.1724002549713607
626,,0.0,0.0,1.7526209229217269,1.289659736310384,0.8905640925647157,0.1291319971301793,0.16812715828916683,,,0.4928685327679205,inf,,,0.16930015172974025
627,,0.0,0.0,1.7123367596735175,1.1609931821468487,0.8064757085968587,0.07722935929152622,0.08053549921036178,,,0.5158180382284114,inf,,,0.1680655047230072
628,,0.0,0.0,1.773786503964204,1.1910944384860154,0.8840060205553776,0.06300636825318398,0.06851928997647079,,,0.5978297680564633,inf,,,0.16451928736123286
629,,0.0,0.0,1.736356400787913,0.829119239935345,0.9318211360538531,0.02617612522595891,0.042115524780217156,,,0.6447042257417027,inf,,,0.16441428667792896
