,eda+hr_XAp0,eda+hr_XAp1,eda+hr_XAp2,eda+hr_XCond1,eda+hr_XCond2,eda+hr_XDist,eda+hr_XFuzz1,eda+hr_XFuzz2,eda+hr_XK2_1,eda+hr_XK2_2,eda+hr_XPermEn,eda+hr_XSamp0,eda+hr_XSamp1,eda+hr_XSamp2,eda+hr_XSpec
18,,0.0,0.0,1.256677971710866,0.9486350068298641,0.7578292987392921,0.20468400628179104,0.18165057947357538,,,0.4732203808476458,inf,,,0.27928564101244124
19,,0.0,0.0,1.673570215058982,1.0918929494739034,0.9391844866944772,0.008128843278091751,0.02507924067037908,,,0.2961247884481232,inf,,,0.20472030805681252
20,,0.0,0.0,1.7456125308791772,1.2794244748861408,0.96686013901945,0.00495008929169393,0.015150118892030514,,,0.5202020156036558,inf,,,0.163656416142659
21,,0.0,0.0,1.6334422598022877,1.234791231501171,0.9296908383392128,0.009307572904734654,0.028029643188868407,,,0.5158180382284114,inf,,,0.1571146318377089
22,,0.0,0.0,1.5850929427675833,1.0240705783446393,0.9066623254608981,0.14306102241297003,0.300892944592523,,,0.4629450596409901,inf,,,0.19376780385414805
23,,0.0,0.0,1.7722193226077154,1.6443641330808023,0.9721831907917613,0.25225141819208224,0.5426593804339832,,,0.4880666971167561,inf,,,0.17731630197447382
24,,0.0,0.0,1.7006233709257015,1.2514948663820293,0.9555042215032616,0.19819200297911965,0.4035006023690899,,,0.5113665138247345,inf,,,0.18104447204288235
25,,0.0,0.0,1.4684062495701338,0.6878508755348958,0.9083513394536165,0.10179067558284433,0.15413988848846719,,,0.4066654671944331,inf,,,0.18423488596684384
26,,0.0,0.0,1.6535009633045874,0.6678743576483849,0.949676499884955,0.008879090737917213,0.02524321586994438,,,0.1995021272786615,inf,,,0.17318411415539336
27,,0.0,0.0,1.6681719864875135,1.3831433864047147,0.9381964067838924,0.09003280747880588,0.1918600979934647,,,0.40055318934786044,inf,,,0.1598248239406409
28,,0.0,0.0,1.7036941749808254,1.4767645943944292,0.9307950937976529,0.007960530404936675,0.023803495721928174,,,0.27183033608702345,inf,,,0.16922809282073042
29,,0.0,0.0,1.604469171542172,1.2091045823906577,0.9209919205382341,0.008708491819446369,0.02629449018088035,,,0.3751344627501719,inf,,,0.16420556586846768
30,,0.0,0.0,1.6795205482105686,1.2739316461669772,0.9438607377159942,0.01890099816609259,0.054397850966540456,,,0.2961247884481232,inf,,,0.17976623429226782
31,,0.0,0.0,1.7409426330047963,1.1046539945210898,0.9576086063825365,0.02948527888841679,0.06342970030444742,,,0.3943459996787778,inf,,,0.179884807767523
32,,0.0,0.0,1.630069318741017,1.0242812164284678,0.8952430407298659,0.059923401753866956,0.15470789081903688,,,0.43586655696697996,inf,,,0.1829484112959281
33,,0.0,0.0,1.5973174302352677,1.0561428764020846,0.8710441049327409,0.10946811667503381,0.22463384646528445,,,0.47824363442641393,inf,,,0.17425398136959352
34,,0.0,0.0,1.1199046366360177,0.9233242095918042,0.6975936689748897,0.04404632349439153,0.09364168334791248,,,0.541134803179459,inf,,,0.1665159581266641
35,,0.0,0.0,1.4135693433016523,0.8030035198547392,0.8355983367028366,0.005676320282042708,0.01732038392304063,,,0.44694259446804574,inf,,,0.175778195543616
36,,0.0,0.0,1.7238533368411586,1.1772154331313243,0.9445656841714727,0.015986128010990933,0.045269444098754046,,,0.4880666971167561,inf,,,0.1692605705379563
37,,0.0,0.0,1.6943093710764803,1.3847676149359278,0.936196842197213,0.007861536119458886,0.024333903967907695,,,0.4880666971167561,inf,,,0.18003987661679074
38,,0.0,0.0,0.9653864518188036,0.3784522412550071,0.7154013487469313,0.027602784686120985,0.07322257687165903,,,0.43586655696697996,inf,,,0.20912411905799616
39,,0.0,0.0,1.6829343393200624,1.003214208438771,0.9040519828263025,0.04222878136343708,0.11643382044502934,,,0.41268473150466,inf,,,0.20448326268283953
40,,0.0,0.0,1.7486269865043904,1.457117324147641,0.9743381386339033,0.16963789689526174,0.41772339643021134,,,0.4880666971167561,inf,,,0.17811300183870227
